2008,1,3,50000.0
2008,1,4,49982.0
2008,1,7,49997.0
2008,1,8,49983.0
2008,1,9,49971.0
2008,1,10,49953.0
2008,1,11,49953.0
2008,1,14,49953.0
2008,1,15,49953.0
2008,1,16,49953.0
2008,1,17,49953.0
2008,1,18,49953.0
2008,1,22,49953.0
2008,1,23,49953.0
2008,1,24,49953.0
2008,1,25,49953.0
2008,1,28,49953.0
2008,1,29,49953.0
2008,1,30,49953.0
2008,1,31,49953.0
2008,2,1,49953.0
2008,2,4,49953.0
2008,2,5,49953.0
2008,2,6,49953.0
2008,2,7,49935.0
2008,2,8,49946.0
2008,2,11,49956.0
2008,2,12,49966.0
2008,2,13,50133.0
2008,2,14,50033.0
2008,2,15,50143.0
2008,2,19,50023.0
2008,2,20,50031.0
2008,2,21,49927.0
2008,2,22,49908.0
2008,2,25,50059.0
2008,2,26,50057.0
2008,2,27,50057.0
2008,2,28,50057.0
2008,2,29,50039.0
2008,3,3,50042.0
2008,3,4,50062.0
2008,3,5,50067.0
2008,3,6,50052.0
2008,3,7,50040.0
2008,3,10,50031.0
2008,3,11,50084.0
2008,3,12,50082.0
2008,3,13,50114.0
2008,3,14,50074.0
2008,3,17,50051.0
2008,3,18,50149.0
2008,3,19,50093.0
2008,3,20,50190.0
2008,3,24,50300.0
2008,3,25,50308.0
2008,3,26,50225.0
2008,3,27,50207.0
2008,3,28,50231.0
2008,3,31,50237.0
2008,4,1,50304.0
2008,4,2,50288.0
2008,4,3,50395.0
2008,4,4,50380.0
2008,4,7,50380.0
2008,4,8,50348.0
2008,4,9,50327.0
2008,4,10,50372.0
2008,4,11,50343.0
2008,4,14,50323.0
2008,4,15,50336.0
2008,4,16,50277.0
2008,4,17,50221.0
2008,4,18,50294.0
2008,4,21,50273.0
2008,4,22,50185.0
2008,4,23,50285.0
2008,4,24,50685.0
2008,4,25,50818.0
2008,4,28,50842.0
2008,4,29,50833.0
2008,4,30,50834.0
2008,5,1,50888.0
2008,5,2,50882.0
2008,5,5,50897.0
2008,5,6,50903.0
2008,5,7,50858.0
2008,5,8,50852.0
2008,5,9,50862.0
2008,5,12,50867.0
2008,5,13,50860.0
2008,5,14,50891.0
2008,5,15,50925.0
2008,5,16,50908.0
2008,5,19,50914.0
2008,5,20,50906.0
2008,5,21,50857.0
2008,5,22,50874.0
2008,5,23,50861.0
2008,5,27,50906.0
2008,5,28,50959.0
2008,5,29,50985.0
2008,5,30,50998.0
2008,6,2,50961.0
2008,6,3,50989.0
2008,6,4,51023.0
2008,6,5,51056.0
2008,6,6,50973.0
2008,6,9,50968.0
2008,6,10,50919.0
2008,6,11,50850.0
2008,6,12,50893.0
2008,6,13,50929.0
2008,6,16,50983.0
2008,6,17,50920.0
2008,6,18,50865.0
2008,6,19,50933.0
2008,6,20,50835.0
2008,6,23,50596.0
2008,6,24,50565.0
2008,6,25,50643.0
2008,6,26,50462.0
2008,6,27,50460.0
2008,6,30,50413.0
2008,7,1,50407.0
2008,7,2,50331.0
2008,7,3,50317.0
